feature,strategy,filter_auc,conf_auc,dir_acc,life_mae
Long %,ls_fade,0.5204935073754231,0.5213562512473133,0.648480371464753,1.5132560323149622
Long %,momentum,0.5215424684426315,0.5202469636631216,0.6907681742372216,1.2773963146990022
Long %,reversal,0.5205041931202268,0.5195855989125219,0.6859925788497218,1.3955240498132018
Long %,mean_reversion,0.47670508038818077,0.47919837645865043,0.6218181818181818,0.9944044467150323
Long %,momentum_ls,0.5166194909976312,0.5169204666237085,0.6749851455733809,1.3764813254690833
Short %,ls_fade,0.5192081242874894,0.5181137862410928,0.648480371464753,1.5134389360483314
Short %,momentum,0.5195016660935189,0.5194005756024782,0.6907681742372216,1.277017970049931
Short %,reversal,0.5175444904187927,0.5201123460738845,0.6859925788497218,1.3938365059420823
Short %,mean_reversion,0.4949893177867903,0.49055840943683404,0.6218181818181818,0.9924180392551297
Short %,momentum_ls,0.51615028234995,0.515629308701332,0.6749851455733809,1.3767689935020004
Funding Rate,ls_fade,0.5276249517868367,0.52783224090875,0.648480371464753,1.49616546879491
Funding Rate,momentum,0.5139100514967807,0.5167260298979738,0.6907681742372216,1.2716478504541562
Funding Rate,reversal,0.5100131531245412,0.5045243283224052,0.6846011131725418,1.3867980239302287
Funding Rate,mean_reversion,0.5244231152230591,0.5281718851924332,0.624,0.9813788183845642
Funding Rate,momentum_ls,0.5134498935454591,0.5136702879249975,0.6749851455733809,1.3720994901122985
OI USD,ls_fade,0.5221939572509544,0.5217716111611732,0.648480371464753,1.4975938920800773
OI USD,momentum,0.5297975301659533,0.5301719370127719,0.6907681742372216,1.2730079622123964
OI USD,reversal,0.5039214687555865,0.5053269430673277,0.6859925788497218,1.3923675432925722
OI USD,mean_reversion,0.4996627860660487,0.4974745415670074,0.6218181818181818,0.9934287999703626
OI USD,momentum_ls,0.5210340252207947,0.5187443252784355,0.6749851455733809,1.3667781061727706
OI Contracts,ls_fade,0.5210992527967299,0.5199173432794331,0.648480371464753,1.4984097173627537
OI Contracts,momentum,0.5242169549707767,0.5245816514877993,0.6907681742372216,1.273207333597635
OI Contracts,reversal,0.5047479084334798,0.5023128898128898,0.6859925788497218,1.3947808157240522
OI Contracts,mean_reversion,0.5211777140063731,0.5180915688193085,0.6254545454545455,0.9932336137486089
OI Contracts,momentum_ls,0.5247341352157736,0.5237053837985536,0.6749851455733809,1.3663537202295395
Open,ls_fade,0.5168677797810787,0.5167309386709021,0.648480371464753,1.501921891106165
Open,momentum,0.5246257057106418,0.5245449607738406,0.6907681742372216,1.2760173411330704
Open,reversal,0.5313118269260537,0.5319861466496081,0.6859925788497218,1.3937789717489901
Open,mean_reversion,0.5384401252896872,0.5313938265564977,0.6254545454545455,0.9953388555472192
Open,momentum_ls,0.5303695674389113,0.5274053148341812,0.6749851455733809,1.3687375634001906
Prev High,ls_fade,0.5135312945261846,0.515743835982177,0.648480371464753,1.5016566456032587
Prev High,momentum,0.5189106075221492,0.5183718157621324,0.6907681742372216,1.2770207258156963
Prev High,reversal,0.5329771902648901,0.5267016831920678,0.6859925788497218,1.391216493520889
Prev High,mean_reversion,0.522335330967555,0.5139387185620062,0.6269090909090909,0.996357694605397
Prev High,momentum_ls,0.5359794521815536,0.5370624396687497,0.6749851455733809,1.36932959395562
Prev Low,ls_fade,0.512486885653155,0.515935369567485,0.648480371464753,1.5022234432521862
Prev Low,momentum,0.5250371374480293,0.5249576636939977,0.6907681742372216,1.2765555782716829
Prev Low,reversal,0.5328992902106597,0.5306093075323844,0.6859925788497218,1.396267453075915
Prev Low,mean_reversion,0.5396848747103128,0.5318400286294123,0.6276363636363637,0.9919243462462292
Prev Low,momentum_ls,0.5206287858549836,0.5196683271436425,0.6749851455733809,1.370315353111459
Prev Close,ls_fade,0.5145874040225228,0.5152389015679568,0.648480371464753,1.5021012848738533
Prev Close,momentum,0.5236156680559191,0.524548747039163,0.6907681742372216,1.2763334293486344
Prev Close,reversal,0.530220227448184,0.5321055893171278,0.6859925788497218,1.3940212213159076
Prev Close,mean_reversion,0.5317716631662804,0.5355342193955208,0.6254545454545455,0.9948493765182393
